Arrival time,Preprocessing start,Preprocessing end/Classification start,Classification end
227277.16171358255,227277.16171358255,227288.01781612384,227305.6964554869
228581.04899088258,228581.04899088258,228591.93559240812,228613.02386409603
229758.91923239146,229758.91923239146,229770.93978733334,229789.21950129085
231073.61210940324,231073.61210940324,231085.54633515794,231105.62399044575
232370.54153004754,232370.54153004754,232380.61639839553,232402.14015314073
233530.60724422373,233530.60724422373,233542.0523006368,233563.70239271683
234797.58051687048,234797.58051687048,234808.27934062717,234829.77907185987
235988.82951935157,235988.82951935157,235999.94531598946,236020.07497489528
237228.7680671345,237228.7680671345,237240.9489927818,237263.66533232213
238533.7620293895,238533.7620293895,238545.3284183292,238567.03328363335
239846.78747639377,239846.78747639377,239857.19234921294,239877.20816221315
241134.4745155398,241134.4745155398,241146.32663472262,241168.94924402813
242246.80217296426,242246.80217296426,242257.51713699833,242276.03015240296
243343.47070227968,243343.47070227968,243353.9386057142,243375.19249218528
244659.63149837346,244659.63149837346,244671.17963567827,244693.92947981617
245850.06686086475,245850.06686086475,245861.27436265533,245880.7478366566
247137.05174849372,247137.05174849372,247148.64579890462,247169.57124525873
248293.59452755883,248293.59452755883,248304.2563893996,248323.0445054763
249654.8011004633,249654.8011004633,249666.53329650214,249688.92403437776
251031.39661978502,251031.39661978502,251042.30372960638,251063.28672742445
252176.82359240614,252176.82359240614,252188.31413886393,252209.3419078846
